INVNRS,ONDERWERP,TERM,URI
56967,Parkeergarage,,
56968,Parkeergarage,,
56969,Parkeergarage,,
56970,Parkeergarage,,
56971,Parkeergarage,,
56972,Parkeergarage,,
56973,Parkeergarage,,
56974,Parkeergarage,,
56975,Parkeergarage,,
56976,Brug,Brug,http://vocab.getty.edu/aat/300007836
56977,Brug,Brug,http://vocab.getty.edu/aat/300007836
56978,Brug,Brug,http://vocab.getty.edu/aat/300007836
56979,Diversen,,
56980,Begraafplaats,,
56981,Begraafplaats,,
56982,Brug,Brug,http://vocab.getty.edu/aat/300007836
56983,Brug,Brug,http://vocab.getty.edu/aat/300007836
56984,Brug,Brug,http://vocab.getty.edu/aat/300007836
56985,Brug,Brug,http://vocab.getty.edu/aat/300007836
56986,Brug,Brug,http://vocab.getty.edu/aat/300007836
56987,Brug,Brug,http://vocab.getty.edu/aat/300007836
56988,Brug,Brug,http://vocab.getty.edu/aat/300007836
56989,Brug,Brug,http://vocab.getty.edu/aat/300007836
56990,Brug,Brug,http://vocab.getty.edu/aat/300007836
56991,Brug,Brug,http://vocab.getty.edu/aat/300007836
56992,Brug,Brug,http://vocab.getty.edu/aat/300007836
56993,Brug,Brug,http://vocab.getty.edu/aat/300007836
56994,Brug,Brug,http://vocab.getty.edu/aat/300007836
56995,Brug,Brug,http://vocab.getty.edu/aat/300007836
56996,Brug,Brug,http://vocab.getty.edu/aat/300007836
56997,Brug,Brug,http://vocab.getty.edu/aat/300007836
56998,Brug,Brug,http://vocab.getty.edu/aat/300007836
56999,Brug,Brug,http://vocab.getty.edu/aat/300007836
57000,Brug,Brug,http://vocab.getty.edu/aat/300007836
57001,Brug,Brug,http://vocab.getty.edu/aat/300007836
57002,Brug,Brug,http://vocab.getty.edu/aat/300007836
57003,Brug,Brug,http://vocab.getty.edu/aat/300007836
57004,Brug,Brug,http://vocab.getty.edu/aat/300007836
57005,Brug,Brug,http://vocab.getty.edu/aat/300007836
57006,Brug,Brug,http://vocab.getty.edu/aat/300007836
57007,Brug,Brug,http://vocab.getty.edu/aat/300007836
57008,Brug,Brug,http://vocab.getty.edu/aat/300007836
57009,Brug,Brug,http://vocab.getty.edu/aat/300007836
57010,Brug,Brug,http://vocab.getty.edu/aat/300007836
57011,Brug,Brug,http://vocab.getty.edu/aat/300007836
57012,Brug,Brug,http://vocab.getty.edu/aat/300007836
57013,Brug,Brug,http://vocab.getty.edu/aat/300007836
57014,Brug,Brug,http://vocab.getty.edu/aat/300007836
57015,Brug,Brug,http://vocab.getty.edu/aat/300007836
57016,Brug,Brug,http://vocab.getty.edu/aat/300007836
57017,Bestrating,,
57018,Bestrating,,
57019,Bestrating,,
57020,Bestrating,,
57021,Bestrating,,
57022,Bestrating,,
57023,Bestrating,,
57024,Bestrating,,
57025,Bestrating,,
57026,Bestrating,,
57027,Bestrating,,
57028,Bestrating,,
57029,Bestrating,,
57030,Bestrating,,
57031,Bestrating,,
57032,Bestrating,,
57033,Bestrating,,
57034,Bestrating,,
57035,Bestrating,,
57036,Bestrating,,
57037,Perceel,,
57038,Perceel,,
57039,Perceel,,
57040,Perceel,,
57041,Perceel,,
57042,Perceel,,
57043,Perceel,,
57044,Perceel,,
57045,Perceel,,
57046,Perceel,,
57047,Perceel,,
57048,Perceel,,
57049,Perceel,,
57050,Perceel,,
57051,Bestrating,,
57052,Bestrating,,
57053,Bestrating,,
57054,Bestrating,,
57055,Bestrating,,
57056,Bestrating,,
57057,Bestrating,,
57058,Bestrating,,
57059,Bestrating,,
57060,Bestrating,,
57061,Bestrating,,
57062,Bestrating,,
57063,Bestrating,,
57064,Bestrating,,
57065,Bestrating,,
57066,Bestrating,,
57067,Bestrating,,
57068,Bestrating,,
57069,Bestrating,,
57070,Bestrating,,
57071,Bestrating,,
57072,Bestrating,,
57073,Bestrating,,
57074,Bestrating,,
57075,Bestrating,,
57076,Bestrating,,
57077,Bestrating,,
57078,Bestrating,,
57079,Bestrating,,
57080,Bestrating,,
57081,Bestrating,,
57082,Bestrating,,
57083,Bestrating,,
57084,Bestrating,,
57085,Bestrating,,
57086,Bestrating,,
57087,Bestrating,,
57088,Bestrating,,
57089,Bestrating,,
57090,Bestrating,,
57091,Bestrating,,
57092,Bestrating,,
57093,Bestrating,,
57094,Bestrating,,
57095,Bestrating,,
57096,Bestrating,,
57097,Bestrating,,
57098,Bestrating,,
57099,Bestrating,,
57100,Bestrating,,
57101,Bestrating,,
57102,Bestrating,,
57103,Bestrating,,
57104,Bestrating,,
57107,Bestrating,,
57116,Tramremise,,
57117,Perceel,,
57118,Perceel,,
57119,Stadsschouwburg,,
57120,Stadsschouwburg,,
57121,Vossiusgymnasium-Messchaertstraat.1.,,
57122,Sportpark,Sportpark,http://vocab.getty.edu/aat/300170875
57123,Barlaeus,,
57124,Apollohal,,
57125,Gemeente,,
57126,Hillegomschool,,
57127,Sporthal,,
57128,Politiebureau,Politiebureau,http://vocab.getty.edu/aat/300006049
57129,Perceel,,
57130,Politiebureau,Politiebureau,http://vocab.getty.edu/aat/300006049
57131,G.E.B.,G.E.B.,http://vocab.getty.edu/aat/300000414
57132,G.C.E.I.,,
57133,School,School,http://vocab.getty.edu/aat/300006495
57134,School,School,http://vocab.getty.edu/aat/300006495
57135,Bestrating,,
57136,Bestrating,,
