INVNRS;ONDERWERP
1102;Sportgebouwtje
1103;Zittingslokaal
1104;V.O.
1105;Gezondheidscentr.Frankendael
1106;Rijksverzekeringsbank
1107;Kiosk
1108;Gemeentelijke
1109;Zoologisch
1110;Nederlandsche
1111;Hoofdgebouw
1112;Gebouw
1113;Kinderbewaarplaats
1114;Tramgebouw
1115;Stedelijk
1116;Stadskwekerij
1117;Politiebureau
1118;Hoekbebouwing
1119;Pompstation
1120;Marktcomplex
1121;Hogere
1122;Loods
1123;Gymlokalen
1124;C.V.
1125;C.V.
1126;C.V.
1127;C.V.
1128;Rijwiel-
1129;Trafohuisje
1130;Routgendiagnostiek
1131;Stadsdrukkerij
1132;Verenigingsgebouw
1133;Trafohuisje
1134;Math.
1135;Hondenbewaarplaats(39)
1136;Schuilkelders
1137;Schuilkelder
1138;Schuilkelder
1139;Schuilkelders
1140;Schuilkelders
1141;Schuilkelder
1142;Schuilkelder
1143;Schuilkelder
1144;Schuilkelder
1145;Schuilkelder
1146;Schuilkelder
1147;Schuilkelder
1148;Schuilkelder
1149;Schuilkelder
1150;Schuilkelder
1151;Profiel
1152;G.E.B.
1153;O.S.
1154;Schuilkelder
1155;Schuilkelder
1156;Zandfilters
1157;Schuilkelder
1158;Schuilkelder
1159;Schuilkelder
1160;Schuilcel
1161;Schuilkelder
1162;Wibauthuis
1163;Plan
1164;Brug
1165;Preklinisch
1166;Plannen
1167;Plannen
1168;Situaties
1169;School
1170;Scholen
1171;N.H.
1172;N.H.
1173;Abattoir
1174;Stadhuis
1175;Ned.Inst.
1176;Inst.
1177;School
1178;Koopmansbeurs
1179;Wilhelmina
1180;Centrale
1181;Wilhelmina
1182;Prinsenschool
1183;Bestrating
1184;Bestrating
1185;Autotunnel
1186;Autotunnel
1187;Autotunnel
1188;IJtunnel
1189;Plannen
1190;Plannen
1191;Situatie
1192;Situatie
1230;Rozengracht
1231;Singel
1232;Buitensingel,
1233;Open
1234;Buitensingel,
1235;Buitensingel,
1236;Waterlooplein
1237;Damrak
1238;Damrak
1239;Damrak
1240;Damrak
1241;Damrak
1242;Damrak
1243;Damrak
1244;Damrak
1245;Damrak
1246;Damrak
1247;Damrak
1248;Damrak
1249;Damrak
1250;Damrak
1251;Damrak
1252;Damrak
1253;Damrak
1254;Damrak
1255;Damrak
1256;Damrak
1257;Damrak
1258;Damrak
1259;Damrak
1260;Damrak
1261;Damrak
1262;Damrak
1263;Damrak
1264;Damrak
1265;Damrak
1266;Damrak
1267;Damrak
1268;Damrak
1269;Ontwerp
1270;Ontwerp
1271;Ontwerp
1272;Schetsplan
1273;Schetsplan
1274;Schetsplan
1275;Ontwerp
1276;Ontwerp
1277;Ontwerp
1278;Schetsontwerp
1279;Schetsontwerp
1280;Schetsontwerp
1281;Schetsontwerp
1282;Schetsontwerp
1283;Ontwerp
1284;Ontwerp
1285;Gewijzigd
1286;Schetsontwerp
1287;Schetsontwerp
1288;Schetsontwerp
1289;Schetsontwerp
1290;Opmetingstekeningen
1291;Ontwerp
1292;Funderingsplan
1293;Beurs
1294;Dam
1297;Burgerweeshuis
1298;Schetsontwerpen
1299;Ontwerp
1300;Ontwerp
1301;Reproducties
1302;Foto
1303;Fotolitho's
1304;Ontwerptekeningen
1305;Ontwerptekekening
1306;Rooilijntekening
1307;Prijsvraagontwerp
1308;Prijsvraagontwerp
1309;Perspectieftekening
1310;Perspectieftekening
1311;Situatie
1312;Situatie
1313;Perspectieftekening
1314;Situatie
1315;Prijsvraagontwerp
1316;Schetsontwerp
1317;Paleis
1318;Paleis
1319;Paleis
1320;Paleis
1321;Paleis
1322;Lozingskanaal,
1323;Plan
1324;Plan
1325;Stedelijk
1326;Julianafeesten,
1327;Ontwerptekeningen
1329;Amsteldijk
1330;Weteringschans
1331;Damrak
1332;Vlothavenweg
1333;Oudezijds
1334;Staalstraat
1335;Singelgracht
1336;Singel/Torensluis,
1337;Ringdijk
1338;Rozengracht
1339;Singel
1340;IJdoornlaan,
1341;Prinsengracht
1342;Waterlooplein
1343;Westerkanaal/Tasmanstraat,
1344;Spinhuissteeg
1345;Spuistraat
1346;Singel
1347;Sloterkade
1348;Prinsengracht
1349;Koestraat
1350;Keizersgracht
1351;Keizersgracht
1352;Keizersgracht
1353;Karthuizerstraat
1354;Nieuwe
1355;Orteliuskade/Jan
1356;Brug
1357;Kromme
1358;Nieuwendammerdijk
1359;Leidsestraat
1360;Oudezijds
1361;Oudezijds
1362;Oudezijds
1363;Park
1364;Binnenkant
1365;Beulingstraat
1366;Groenburgwal
1367;Burgemeester
1368;Funderingsplan
1369;Plattegrond
1370;Lengtedoorsnede.
2014;Petroleumhavenweg
10002;Petroleumhavenweg
10100;Plattegronden
10101;Plattegrond
10102;Plattegrond
10103;Plattegrond
10104;Plattegrond
10105;Plattegrond
10106;Plattegrond
10107;Plattegrond
10108;Plattegrond
10109;Plattegrond
10110;Plattegrond
10111;Plattegrond
10112;Plattegronden
10113;Plattegrond
10114;Plattegrond
10115;Plattegrond
10116;Plattegrond
10117;Plattegrond
10118;Plattegrond
10119;Haven
10120;Plattegrond
10121;Plattegrond
10122;Plattegrond
10123;Plattegrond
10124;Plattegronden
10125;Plattegrond
10126;Plattegrond
10127;Plattegrond
10128;Plattegrond
10129;Plattegrond
10130;Plattegrond
10131;Plattegrond
10132;Plattegrond
10133;Plattegrond
10134;Plattegrond
10135;Fotoperspectief
10136;Grensverlegging
10137;Grensregeling
10138;Uitbreiding
10139;Plattegrond
10140;Plattegrond
10141;Plattegrond
10142;Plattegrond
10143;Plattegrond
10144;Plattegrond
10145;Plattegrond
10146;Uitbreidingsplan
10201;Plattegrond
10202;Indeling
10203;Plattegrond
10204;Plattegrond
10205;Plattegrond
10206;Plattegrond
10207;Plattegrond
10208;Plattegrond
10209;Plattegrond
10210;Plattegrond
10211;Plattegrond
10212;Plattegrond
10213;Plattegrond
10214;Plattegrond
10215;Plattegrond
10216;Plattegrond
10217;Plattegrond
10218;Plattegrond
10219;Plattegrond
10220;Plattegrond
10221;Plattegrond
10222;Plattegrond
10223;Plattegrond
10224;Plattegrond
10225;Plattegrond
10226;Platte
10227;Verfwerken
10228;Plattegrond
10229;Plattegrond
10230;Plattegrond
10231;Plattegrond
10232;Plattegrond
10233;Plattegrond
10234;Plattegrond
10235;Plattegrond
10236;Plattegrond
10237;Plattegrond
10238;Plattegrond
10239;Plattegrond
10240;Plattegrond
10241;Platte
10242;Plattegrond
10243;Plattegrond
10301;Situatie
10302;Situatie
10303;Situatie
10304;Situatie
10305;Situatie
10306;Situatie
10307;Situatie
10308;Situatie
10309;Situatie
10310;Situatie
10311;Situatie
10312;Situatie
10313;Situatie
10314;Situatie
10315;Situatie
10316;Situatie
10317;Situatie
10318;Situatie
10319;Situatie
10320;Situatie
10321;Situatie
10322;Situatie
10401;Kloosters
10402;Gevels
10500;Haven
10501;Haven
10502;Haven
10503;Haven
10504;Haven
10505;Haven
10506;Haven
10507;Haven
10508;Haven
10509;Haven
10510;Haven
10511;Haven
10512;Haven
10513;Haven
10514;Haven
10515;Haven
10601;Rivier.
10602;Singelgracht
10603;Noord
10604;Amsterdam
10605;Noordzeekanaal
10606;Rivieren.
10607;Rivieren.
10701;Provincie
10702;Div.
10703;Provincie
10704;Provincie
10705;Provincie
10706;Provincie
10707;Provincie
10708;Provincie
10709;Provincie
10711;Provincie
10712;Provincie
10713;Provincie
10714;Provincie
10715;Provincie
10716;Republiek.
10717;Provincie
10718;Bladkaarten
10719;Provincie
10720;Provincie
10721;Provincie
10722;Provincie
10723;Provincie
10724;Provincie
10725;Provincie
10727;Provincie
10728;Rivier.
10729;Rivier.
10730;Provincie
10731;Provincie
10732;Provincie
10733;Provincie
10734;Provincie
10735;Watergraafsmeer.
10736;Provincie
10737;Provincie
10738;Provincie
10739;Provincie
10740;Provincie
10741;Provincie
10742;Provincie
10743;Provincie
10744;Provincie
10745;Provincie
10746;Provincie
10747;Provincie
10748;Amsterdam
10749;Amsterdam
10750;Amsterdam
10751;Amsterdam
10752;Provincie
10758;Provincie
10759;Zeewering.
10760;Provincie
10761;Provincie
10801;IJselmeer.
10802;IJselmeer.
10803;IJselmeer.
10804;IJselmeer.
10805;Urk.
10901;Parijs.
10902;Parijs.
10903;Parijs.
10904;Parijs.
10905;Parijs.
10906;Parijs.
10907;Parijs.
10908;Parijs.
10909;Parijs.
10910;Parijs.
10911;s
10912;Alkmaar.
10913;Havens
10914;Brussel.
10915;Batavia.
10916;Londen.
10917;Middlesbrough.
10918;Southampton.
10919;Kinston
10920;Liverpool.
10921;Hamburg.
10922;Hamburg.
10923;Hamburg.
10924;Hamburg.
10925;Mijnbouw
10926;Rotterdam.
10927;s
10928;Plattegrond
11002;Brug
11029;Brug
11034;Brug
11070;Brug
11142;Brug
11147;Brug
11181;Brug
11251;Brug
11264;Brug
11297;Brug
12001;Brug
12002;Brug
12005;Brug
12008;Brug
12010;Brug
12014;Brug
12015;Brug
12016;Brug
12034;Brug
12038;Brug
12056;Brug
12063;Brug
12077;Brug
12080;Brug
12084;Brug
12088;Brug
12090;Brug
12131;Brug
12132;Brug
12146;Brug
12149;Brug
12151;Brug
12155;Walmuren
12222;Brug
12237;Brug
12241;Brug
12246;Brug
12259;Brug
12262;Brug
12274;Brug
12277;Brug
12278;Brug
12287;Brug
12297;Brug
12345;Brug
12383;Brug
13000;Brug
13001;Brug
13002;Brug
13003;Brug
13004;Brug
13006;Brug
13007;Brug
13008;Brug
13010;Brug
13015;Brug
13017;Brug
13018;Brug
13020;Brug
13023;Brug
13024;Brug
13028;Brug
13030;Brug
13033;Brug
13042;Brug
13044;Brug
13048;Brug
13051;Brug
13055;Brug
13058;Brug
13060;Brug
13061;Brug
13063;Brug
13065;Brug
13067;Brug
13068;Brug
13079;Brug
13089;Brug
13090;Brug
13091;Brug
13093;Brug
13094;Brug
13096;Brug
13098;Brug
13099;Brug
13100;Brug
13101;Brug
13102;Brug
13105;Brug
13106;Brug
13107;Brug
13108;Brug
13111;Brug
13116;Brug
13118;Brug
13119;Brug
13120;Brug
13121;Brug
13122;Brug
13123;Brug
13124;Brug
13127;Brug
13128;Brug
13135;Brug
13136;Brug
13137;Brug
13138;Brug
13143;Brug
13145;Brug
13146;Brug
13149;Brug
13153;Brug
13154;Brug
13155;Harmonikawand.
13156;Brug
13161;Brug
13164;Brug
13167;Brug
13173;Brug
13174;Brug
13175;Brug
13178;Brug
13179;Brug
13180;Brug
13181;Brug
13183;Brug
13185;Brug
13187;Brug
13189;Brug
13193;Brug
13205;Brug
13207;Brug
13208;Brug
13209;Brug
13214;Brug
13221;Brug
13222;Brug
13223;Brug
13225;Brug
13227;Brug
13229;Brug
13230;Brug
13232;Brug
13236;Brug
13238;Brug
13239;Brug
13241;Brug
13242;Brug
13246;Brug
13247;Brug
13248;Brug
13250;Brug
13252;Brug
13257;Brug
13262;Brug
13263;Brug
13265;Brug
13272;Brug
13273;Brug
13274;Brug
13275;Brug
13277;Brug
13279;Brug
13280;Brug
13281;Brug
13284;Brug
13285;Brug
13286;Brug
13287;Brug
13289;Brug
13290;Brug
13291;Brug
13299;Brug
13300;Brug
13301;Brug
13302;Brug
13303;Brug
13306;Brug
13316;Brug
13320;Brug
13321;Brug
13345;Brug
13346;Brug
14000;Brug
14004;Brug
14006;Brug
14010;Brug
14012;Brug
14013;Brug
14014;Ned.Ind.Handelsbank.
14017;Nat.
14020;Brug
14021;Brug
14022;Brug
14025;Brug
14033;Brug
14034;Brug
14035;Brug
14036;Brug
14043;Brug
14047;Brug
14049;Brug
14050;Brug
14051;Brug
14055;Brug
14056;Brug
14059;Brug
14060;Brug
14061;Brug
14067;Brug
14068;Brug
14069;Brug
14072;Brug
14075;Brug
14076;Brug
14077;Brug
14081;Brug
14082;Brug
14084;Brug
14086;Brug
14087;Brug
14091;Brug
14095;Brug
14097;Brug
14098;Brug
14099;Brug
14100;Brug
14110;Brug
14117;Brug
14119;Brug
14120;Brug
14121;Brug
14122;Brug
14123;Brug
14125;Brug
14127;Brug
14142;Brug
14145;Brug
14146;Brug
14149;Brug
14155;Speelplaatsen
14157;Brug
14158;Brug
14161;Brug
14163;Brug
14165;Brug
14167;Brug
14169;Brug
14170;Havens
14175;Brug
14176;Brug
14198;Brug
14202;Brug
14203;Brug
14204;Brug
14205;Brug
14206;Brug
14208;Brug
14211;Brug
14215;Brug
14216;Brug
14218;Brug
14221;Brug
14222;Brug
14224;Brug
14225;Brug
14227;Brug
14230;Brug
14236;Brug
14237;Brug
14238;Brug
14239;Brug
14241;Brug
14242;Brug
14246;Brug
14248;Brug
14250;Brug
14252;Brug
14255;Brug
14258;Brug
14263;Brug
14264;Brug
14265;Brug
14269;Brug
14274;Brug
14276;Brug
14277;Brug
14279;Brug
14280;Brug
14282;Brug
14283;Brug
14284;Brug
14285;Brug
14286;Brug
14288;Brug
14289;Brug
14290;Perceel
14291;Brug
14293;Brug
14294;Brug
14295;Brug
14296;Brug
14297;Brug
14300;Brug
14301;Brug
14303;Brug
14306;Brug
14313;Brug
14320;Brug
14321;Brug
14323;Brug
14337;Brug
14347;Brug
14349;Brug
14350;Brug
14352;Brug
14353;Brug
14354;Brug
14409;Betonvloer
15003;Brug
15006;Brug
15007;Brug
15009;Brug
15015;Brug
15016;Brug
15024;Brug
15028;Brug
15031;Brug
15033;Brug
15034;Brug
15044;Brug
15063;Brug
15066;Brug
15067;Brug
15070;Brug
15071;Brug
15074;Brug
15079;Brug
15080;Brug
15090;Brug
15091;Brug
15094;Brug
15112;Brug
15124;Brug
15131;Brug
15135;Brug
15137;Brug
15142;Brug
15151;Brug
15156;Brug
15166;Brug
15167;Brug
15170;Brug
15173;Brug
15178;Brug
15190;Brug
15204;Brug
15208;Brug
15222;Brug
15223;Brug
15224;Brug
15246;Brug
15247;Brug
15255;Brug
15261;Brug
15262;Brug
15266;Brug
15274;Burggen
15276;Brug
15279;Brug
15280;Brug
15282;Brug
15285;Brug
15289;Brug
15299;Brug
15300;Brug
15315;Brug
15349;Brug
15353;Brug
15354;Brug
15363;Brug
15364;Brug
15366;Brug
15367;Brug
15382;Brug
15383;Brug
15384;Brug
15385;A.
15386;A.
15387;A.
15388;A.
15389;A.
15390;A.
15391;A.
15392;A.
15393;Schiphol
15394;A.
15395;A.
15396;Keukens.
15397;Kasten
15398;Tafel
15399;Overkapping.
15400;Tafels
15401;Draairamen.
15402;Ramen
15403;Spoelbak.
15404;Puien
15405;Vloer.
15406;Puien
15407;Spreelcel.
15408;Blilvanger.
15409;Blilvanger.
15410;Ramen
15411;Afscheiding
15412;Opmeting
15413;Vloeren
15414;Verbouwen
15415;Inrichting
15416;Brug
15417;Arits
15418;Lossteiger.
15419;Berekening
15420;Riolering
15421;Riolering
15422;Riolering
15423;Riolering
15424;Situatie
15425;Situatie
15426;Situatie
15427;Situatie
15428;Situatie
15429;Situatie
15430;Situatie
15431;Situatie
15432;Situatie
15433;Situatie
15434;Dwarsprofiel
15435;Riolering
15436;Situatie
15437;Situatie
15438;Situatie
15439;Situatie
15440;Situatie
15441;Situatie
15442;Situatie
15443;Pui
15444;Riolering
15445;Riolering
15446;Riolering
15447;Zinker
15448;Riolering
15449;School
15450;G.E.B.
15451;G.E.B.
15452;G.E.B.
15453;Hoogspanningsruimte
15454;Doorgraving.
15455;Scheidingsmuur.
15456;Grondwerk
15457;Schiphol
15458;Grafieken
15459;Pomp
15460;As
15461;Schakelschema
15462;As
15463;As
15464;Pomp
15465;As
15467;As
15468;As
15469;Tourniquet
15470;As
15471;Lager.
15472;As
15473;Verwarming
15474;Verwarming
15475;R.I.
15477;Schakelschema
15478;Schakelschema
15480;Schakelschema
15481;Schakelschema
15482;Schakelschema
15483;Pomp
15484;Schakelschema
15485;Situatie
15486;Situatie
15487;Betonvloer
15488;Situatie
15489;Situatie
15490;Situatie
15491;Situatie
15492;Situatie
15493;Situatie
15494;Boringen
15495;Situatie
15496;Situatie
15497;Situatie
15498;Situatie
15499;Situatie
15500;Situatie
15501;Situatie
15502;Situatie
15503;Situatie
15504;Situatie
15505;Situatie
15506;Situatie
15507;Situatie
15508;Situatie
15509;Situatie
15510;Situatie
15511;Situatie
15512;Situatie
15513;Overzicht
15514;Situatie
15515;Situatie
15516;Situatie
15517;Situatie
15518;Wastrog.
15519;Situatie
15520;Situatie
15521;Situatie
15522;Situatie
15523;Situatie
15524;Situatie
15525;Situatie
15526;Situatie
15527;Situatie
15528;Situatie
15529;Situatie
15530;Situatie
15531;Situatie
15532;Situatie
15533;Situatie
15534;Situatie
15535;Situatie
15536;Situatie
15537;Betonplaat.
15538;Kerk
15539;Electr.
15540;Looproosters.
15541;Electr.
15543;Electr.
15544;Montelbaanstoren
15545;Wijziging
15546;Aanleg
15547;Situatie
15548;Munttoren
15549;Luchtleiding.
15550;Centrale
15551;Kraanbaan
15552;Monteren.
15553;Centrale
15554;Centrale
15556;Beveiliging.
15557;Lift
15558;Remmingen
15559;Centrale
15560;Toegangsdeur.
15561;Verwarming
15562;Verwarming
15563;Verwarming
15564;Meubelen
15565;Rioolgemaal
15566;Crondwerk.
15567;Dempen
15568;Garage
15569;Speelplaats/speeltuin
15571;Glijweerstand.
15572;Zinker
15573;Pompinstallatie
15574;R.I.
15575;Installatie
15576;Schakelschema
15577;Verwarming
15578;Verwarming
15579;Verwarming
15580;Oostelijke
15581;Verwarming
15582;Verwarming
15583;Wegbanen
15584;Wegbanen
15585;Ophogen
15586;Riolering
15587;Riolering
15588;Riolering
15589;Riolering
15590;Riolering
15591;Riolering
15592;Riolering
15593;Riolering
15594;Riolering
15595;Riolering
15596;Persleiding
15597;Riolering
15598;Riolering
15599;Riolering
15600;Riolering
15601;Riolering
15602;Duiker
15603;Riolering
15604;Riolering
15605;Riolering
15606;Riolering
15607;Riolering
15608;Riolering
15609;Riolering
15610;Riolering
15611;Riolering
15612;Riolering
15613;Riolering
15614;Riolering
15615;Riolering
15616;Verbouwen
15617;Persleiding
15919;Berekeningen
15937;School
16698;Situatie
17421;Dempen
17422;Bouw
17441;Boeien
17447;Profielen
17452;Koninklijk-Paleis.
17454;Beurs
17456;Beurs
17460;Steigers
17463;Vacuumleiding.
17467;Beurspassage.
17471;Fonteinen
17472;Kademuur
17474;Kademuur
17481;Kademuur
17491;Verbouwen
17496;Kademuur
17500;Kademuur
17502;Kademuur
17503;Kademuur
17505;Kademuren
17513;Hek
17514;Hek
17519;Restrating.
17520;Bestrating
17523;Kademuren
17525;Riolering
17527;Situatie
17529;Profielen
17533;Politieposthuis
17534;Riolering
17536;Verbouwen
17545;Riolering
17561;Kademuur
17566;Inrichten.
17574;Aanleg
17575;Kademuren
17576;Kademuur
17608;Typetekening
17609;Typetekening
17632;Riolering
17634;Riolering
17649;Typetekening
17662;Privaat
17666;Bouw
17675;Vergroting.
17676;Abattoir
17677;Aanleg
17678;Bestrating
17685;Spoorwegen.
17686;Spoorwegen.
17688;Aanleg
17697;Situatie
17701;Kantoor
17706;Baarsjesweg
17707;Kostverlorenvaart
17708;Situatie
17735;Eerste
17737;s-Gravesandestraat.
17739;Riolering
17741;Riolering
17742;Riolering
17776;Kostverlorenvaart
17783;Aanleg
17815;Kademuur
17816;Kademuur
17818;Kademuur
17819;Kademuur
17821;Kademuur
17822;Beschoeiing
17823;Kademuur
17825;Kademuur
17826;Kademuur
17827;Kademuur
17828;Kademuur
17829;Kademuur
17830;Kademuur
17831;Kademuur
17833;Kademuur
17834;Kademuur
17835;Kademuur
17836;Kademuur
17837;Kademuur
17839;Kademuren
17843;Kademuur
17845;Kademuur
17870;Kademuur
17907;Kademuur
17911;Kademuur
17913;Kademuren
17914;Kademuur
17915;Kademuur
17916;Kademuren
17919;Riolering
17924;Kademuren
17928;Luchtbrug.
17929;Afscheiding
17933;Kademuur
17934;Kademuur
17935;Situatie
17936;Riolering
17939;Rooilijnen
17945;Ophogen
17947;Graven
17953;Aanleg
17954;Aanleg
17956;Aanleg
17957;Schutsluis.
17962;Afsluitdam.
17964;Verbreden
17967;St.
17968;Overtoom
17969;Sluis
17971;Duikersluis
17972;Monument
17974;Onderbouw
17979;Aanleg
17982;Graven
17991;Verbreden
17993;Duiker
17995;Verbreden
18002;Beschoeiing
18003;Steiger
18004;Verbreden
18005;Verbreden
18007;Aanleg
18010;Normalisering.
18011;Ophogen
18013;Aanleg
18014;Aanleg
18015;Aanleg
18020;Graven
18021;Aanleg
18022;Aanleg
18038;Plantsoen
18044;Situatie
18045;Situatie
18047;Riolering
18050;Aanleg
18052;Riolering
18054;Riolering
18055;Riolering
18056;Riolering
18059;Riolering
18060;Riolering
18063;Situatie
18068;Verbreden
18069;Riolering
18070;Riolering
18077;Riolering
18079;Riolering
18080;Riolering
18086;Urinoir
18096;Kademuren
18098;Walmuur
18099;Walmuur
18100;Aanleg
18101;Riolering
18104;Duikersluis
18105;Walmuur
18108;Walmuur
18109;Profielen
18110;Beschoeiing
18112;Verbreden
18113;Verbreden
18114;Aanplempen.
18119;Aanplempen.
18121;Beschoeiing
18123;Riolering
18124;Riolering
18125;Riolering
18126;Riolering
18127;Riolering
18135;Riolering
18137;Riolering
18138;Riolering
18139;Riolering
18147;Kademuur
18148;Riolering
18150;Riolering
18151;Riolering
18170;Schutsluis.
18171;Sluis
18173;Profielen
18176;Profiel
18177;Profiel
18183;Profiel
18185;Bouw
18186;Bouw
18187;Damrak
18188;Bouw
18189;Situatie
18200;Stamper.
18201;Stamper.
18207;Situatie
18230;Situatie
18245;Situatie
18247;Situatie
18251;Situatie
18261;Situatie
18269;Normaliseren.
18270;Sluis
18274;Sluis
18277;Brug
18278;Walmuur
18280;Schutsluis.
18284;School
18298;Buitengasthuis
18318;School
18319;School
18321;School
18328;School
18329;School
18333;School
18335;Hortus
18340;Paleis
18341;Bouw
18345;Bouw
18346;Bouw
18347;Bouw
18349;Bouw
18354;Bouw
18355;Verbouwen
18356;Bouw
18358;Bouw
18359;Bouw
18360;Bouw
18361;Universiteit
18362;Opmeting
18365;Bouw
18366;School
18367;Verbouw
18369;Verbouwen
18370;V.H.
18372;Beursgebouw
18373;Universiteit
18374;Bouw
18376;Leidseplein
18377;Oost/Indischhuis.
18378;Kon.
18380;Herenmarkt.
18381;Rijks-Arsenaal.
18382;Poortdeur.
18384;Hortus
18385;Nieuwe-Kerk.
18386;Nes
18388;Muiderpoort
18391;Pakhuizen
18393;Bouw
18394;Groenburgwal
18395;Opmeting
18397;Koren
18398;Oranje-Nassau-Kazerne.
18400;Regen
18401;Jeugdhotel
18402;Ontwerp
18403;Leidsepoort
18405;Monument
18406;Monument
18407;2e
18409;Oudekerk
18410;Zuiderkerk
18413;Binnengasthuis
18417;Huis
18418;Politiebureau
18420;Verbouwen
18421;Bouw
18423;Bouw
18424;Binnengasthuis
18428;School
18432;Vergroten.
18434;School
18435;School
18436;Vergroten.
18437;Bouw
18441;Vergroten.
18442;Bouw
18445;Vergroten.
18450;Planciusstraat
18452;Verbouwen
18453;Bouw
18455;Bouw
18456;Plantage
18457;Verbouwen
18458;Bouw
18459;Bouw
18461;Verbouwen
18462;Vergroten.
18463;Vergroten.
18466;Bouw
18477;Bouw
18479;Bouw
18484;Bouw
18496;Oostenburgermiddenstraat
18498;Bouw
18500;Vergroten.
18510;Bouw
18512;Vergroten.
18513;Bouw
18516;Vergroten.
18517;School
18519;Bouw
18520;Vergroten.
18523;Vergroten.
18524;Vergroten.
18525;Bouw
18526;Bouw
18527;Bouw
18529;Bouw
18532;Verbouwing
18533;Weteringschans
18534;Verbouwing
18535;Bouw
18536;Bouw
18537;Bouw
18540;Verbouwing
18541;Bouw
18542;Bouw
18543;Bouw
18544;Bouw
18545;Verbouwen
18546;Vergroten.
18547;Verbouwen
18548;Bouw
18551;Bouw
18552;Vergroten.
18554;Verbouwen
18555;Bouw
18557;Verbouwen
18564;Bouw
18565;Vergroten.
18566;Bouw
18569;Bouw
18571;Bouw
18572;Bouw
18573;Bouw
18575;Bouw
18576;Bouw
18578;Bouw
18579;Bouw
18580;Bouw
18581;Verbouwen
18583;Bouw
18584;School
18586;Verbouwen
18587;Verbouwen
18588;Bouw
18589;Bouw
18590;Bouw
18591;Bouw
18592;Verbouwing
18593;Verbouwing
18594;Bouw
18595;Bouw
18596;Verbouwing
18601;Bouw
18603;Verbouwen
18604;Bouw
18606;Bouw
18608;Bouw
18610;Verbouwen
18611;Bouw
18613;Bouw
18614;Bouw
18615;Bouw
18616;Verbouwen
18617;Bouw
18618;Bouw
18619;Verbouwen
18620;Bouw
18621;Verbouwen
18622;Bouw
18623;Bouw
18624;Bouw
18625;Bouw
18626;Verbouwing
18628;Bouw
18629;Bouw
18630;Bouw
18633;Vergroten.
18636;Bouw
18637;Vergroten.
18638;Bouw
18641;Bouw
18642;Verbouwen
18643;Bouw
18644;Bouw
18645;Verbouwen
18646;Bouw
18647;Weteringschans
18648;Bouw
18649;Verbouwen
18650;Bouw
18652;Verbouwen
18653;Bouw
18654;Verbnouwen.
18655;Bouw
18658;Verbouwen
18662;School
18663;School
18664;School
18665;School
18666;School
18667;Belastingkantoor
18668;Belastingkantoor
18669;Belastingkantoor
18670;School
18671;School
18672;School
18673;School
18675;School
18676;School
18677;School
18678;Mamixstraat
18679;Mamixstraat
18680;Mamixstraat
18681;Mamixstraat
18682;School
18683;School
18684;School
18685;School
18688;School
18689;School
18690;School
18691;Diversre
18692;Verbouw
18693;School
18694;School
18695;School
18696;Valkenburgerstraat
18697;School
18698;School
18699;School
18700;School
18704;Polikliniek
18705;Schuilplaats
18706;Petroleumhaven
18707;Hortus
18708;Hortus
18712;Hortus
18713;Hortus
18714;Politiebureau
18720;Bouw
18721;Artis
18723;Politie
18724;Brandweerkazerne
18725;Brandweerkazerne
18726;Stadsschouwburg
